"prior_message","barney_message"
"Robin wants to keep this a secret so it's gonna stay a secret.","Yeah, it's not gonna stay a secret. You see, in my research, I came upon a certain gentleman in Malaysia who is in possession of a certain video tape. He just emailed me that it will be up and running on MySpace in about, right now!"
"Yeah, it's not gonna stay a secret. You see, in my research, I came upon a certain gentleman in Malaysia who is in possession of a certain video tape. He just emailed me that it will be up and running on MySpace in about, right now!","Robin's world is about to be turned upside-down. I mean, I'm guessing."
"Barney, don't, okay.","Robin, please don't panic. I'm only going to show enough to prove to Marshall that I was right."
"I wanna stress that I was young.","Yeah you were."
"And I didn't know any better.","They never do."
"And it started out as an innocent modeling job.","It always does."
"Yeah, but the constant fear of knowing that at any moment you can get slapped in the face would drive you crazy.","I'm gonna go with the five for eternity."
"So, just to be clear, you wanted everybody to go to the mall today?","Wow, we're gonna watch this a lot. Robin: I even wore a bedazzled jean jacket."
"Everybody come and play. Throw every last care away. Let's go to the mall, today!","Did you have to laugh like that every time? Robin: Yes."
"my eyes are up here.","Oh, my God. I'm gonna be an uncle?"
"I dont' know... Robin and I broke up two weeks ago. I'm... I'm not ready.","When will you be ready?"
"I grew my breakup beard.","Ted Mosby, suit up, 'cause here's the plan. There's a Miss Nassau County pageant. We'll pretend to be judges and, yes, our votes are for sale."
"I repainted the apartment.","Finish line of a woman 10K. Salty girls on an endorphin high who just want to lie down. Yeah."
"And the truth is, I was doing really good.","Female acrobats from Montreal. Super flexible. We're going to get ""Cirque de So-Laid"". What up?"
"That's my wife.","Of course it's a competition, Lil. How else do you explain... what's his name?"
"Gael.","Kyle?"
"What a jerk? I don't go to your stupid country and try to seduce woman with my sexy accent.","That's a great point, Persian nightclub owner."
"Career? Such an American idea. My career is living. Windsurfing. Making love. Sometimes at the same time.","How? How would one do that exactly? Seriously, don't giggle. Tell me."
"How do you know?","And you never thought to say?"
"To get that last one, you'd have to break into the Smithsonian.","This conversation never happened."
"All right, you're suit up, I bearded down. Let's get out there and win this thing.","Yes!"
"""I just want to make sure you're okay with this""? Damn it! I can't believe she's the one that gest to say that. She's winning, isn't she?","Hum-hum. Not for long. Okay, pep talk. Take a knee. Ted, tonight, we're going to get you someone way hotter than Robin. Okay, Robin's a ten. Fine we'll get you a 12. Or, you know... two sixes. Failing that, four threes. And break glass in case of emergency we'll go the Staten Island, I'll get you 12 ones. Ted, my boy, I'm going to re-teach you... Ah."
"Ted.","Are you a total idiot, Ted?"
"What?!!","Let's bail, this place is dead."
"Yeah, you're right. We're both totally striking out.","Yes, exactly, plus, we're on a tight schedule. I've got the entire evening perfectly planned out... Spoiler alert: Our last stop is an after hours club so after hours, it's three days from now. What up?"
"Are you blind? I'm making out with a 12. I am winning.","Yeah. But I didn't get to help."
"So you're saying you want me to throw away a super hot girl just because you didn't help me get her?","Apology accepted. Let's go."
"Hum. This is Barney. Barney, Amy.","I'm not gonna remember that. Now, if you'll excuse me, random chick from earlier tonight, as you shall henceforth be known. Ted and I have a schedule to keep."
"Oh, well. You can check out off 08:54, dress up like a dork and bother the cool kids. b*at it, nerd.","Wow. Wow. Great stuff, Tommy Lee. See what you don't understand is, I'm Ted wingman. It's a sacred bond, much stronger that any... They're making out again!"
"The night was doing great. Amy was cool and dangerous. She found a friend for Barney. She even paid for drinks... sort of.","They know us here! You're gonna get us in trouble."
"Tell me something. Do you ask your tailor to leave extra room in the crotch for your huge vagina?","You... your vagina... Ted, this chick is crazy. We're leaving."
"Good idea. Let's all go back to my place.","Your place? Thanks, but no thanks, 1994 Courtney Love."
"Oh, thanks. You should get one.","Wrong. Ted has a classic clean-cut look that never goes out of style season after season, burn."
"Yeah? Well. I think he would look hot with some ink.","No, he wouldn't."
"Yes, he would.","No, he wouldn't."
"Yuh-huh.","Nuh-uh."
"I'm ready to do anything you want by the way. Anything. Right now.","Ted. Who are you gonna side with on this tattoos thing?"
"Sorry. I used to nanny for those jerks before they fired me. So unfair.","Unfair? I wouldn't let you take care of the imaginary kids I make up to score with single moms. That's it Ted, we're going home. Ted? Ted, you okay?"
"I'm okay. In fact, here's how okay I am. I'm gettin' a tattoo.","You're not getting a tattoo. It's not you. Ted, you are heading down a dark path."
"That dark path is my driveway.","But you need a plan and you need a wingman!"
"But you need a plan and you need a wingman!","This is so going in my blog!"
"Want to have sex?","Okay."
"Hum. Really, never? Not even if, say, butterflies flew out of his ass?","What?"
"Hum. Hum. What?","Ted?"
"Hmm?","I came here this morning because... I want to apologize."
"Apology accepted, Barney. As you can see, I do just fine on my own. I don't need a baby-sitter.","See. All this time, I thought you need a wingman to fly, but the truth is you... you've got your own wings now."
"Hmm.","Since you and Robin split, you've been gestating. Growing in your cocoon. And last night... you burst out of that cocoon..., like a majestic, uh... gosh, what is it that comes out of a cocoon? I was always bad at science."
"A butterfly? What?","Nothing, buddy."
"Ow. Why did that hurt so...? Oh my God! I have a tattoo.","Oh, that's not a tattoo. That, dear boy, is a tramp stamp."
"Tramp stamp?","You know, a ho tat. Ass antlers. A Panama City license plate."
"No no no no no no no. Give me this.","Oh, yeah, that'll get it out."
"Kids, I can't remember exactly what helped me get through the whole Robin-Gael incident. I'm sure it was something profound and meaningful and not at all macho and petty. But after that, I was back on my feet. And what followed was a new era in my life. A crazy time unlike anything that came before. It's funny looking back on those days, knowing now exactly what I was heading towards, and what was heading towards me.","Go for Barney."
"Hey, man. It's Marshall. Check your e-mail. Sent you something.","What is it?"
"Just a new website. Slapcountdown.com.","What does this mean? Marshall? Ma...?"
"What does this mean? Marshall? Ma...?","No. No!"
"It's the same. Mostly, except I think I might be getting carpal tunnel. My hands keeps cramping up.","I think the whole point of getting married was that you didn't have to do that anymore."
"Yeah. You're writing constantly. There's forms we have to sign, our death folders, thank you notes...","Whoa. Whoa. What are death folders?"
"I am such a jerk.","Yeah. Wait, why?"
"Number six. Yeah. Oh, God, I am a bad husband. No, uh, no, I'll just write, I'll write Lily a letter tonight, everything'll be fine.","That's right. Unless... you die between now and then. Ooh. But, come on, that's never gonna happen."
"Yes! There is one thing we can state with absolute certainly, it's that Marshall Eriksen is not going to die before writing that letter.","No way at all. In fact, I dare God to smite down this perfectly healthy..."
"And here I am at the drum circle.","Whoa. Are you topless? Ted, check this out."
"Wow. There's a lot of nude people in here.","You haven't changed, Scherbatsky. You're a sophisticated, scotch-swilling, cigar-smoking, red-meat-eating, g*n new yorker."
"Just shoes and a shirt. That's a look.","What you are not is a massage-giving, windsurfing, bongo-playing, teetotaling, vegan, peacenik, hippy like you soon to be ex-boyfriend, Gael. Back me up here, Ted."
"I'm evolved, and I'm enjoying living my life a little bit closer to the way Gael and I did in Argentina.","Please, vacation romances have an expiration date. Gael's got a ""Best if banged by"" sticker on him. Once your romance starts to stink, you'll dump his ass down the drain like sour milk and go back to being ""Unevolved Robin"", the one we actually like. Back me up here, Ted."
"I'm just happy Robin's happy.","I'm telling you, within three days..."
"Ooh, here he comes. Switched to big words.","Within a triad of solar periods, you'll recognize your dearth of compatibility with your paramour and conclude your association."
"What are we talking of? Baseball?","This is all gonna returns to masticate you in the gluteals. Support my hypotehesis, Ted."
"My windsurfing board... it had floated away. And the shark... he was getting closer. They say to escape you punch a shark in the nose. But I said... ""Brother shark, we are both children from the same earth mother."" And that's all I remember until the hospital.","That guy..."
"Yeah. That guy. Look at how easy he has it.","Well. You and me, we have to bend over backwards to get a woman to, well, bend over backwards. But that guy... every woman in the bar is hanging on his every slightly mispronounced word. And why?"
"He's better looking than us.","No. Because he's from out of town."
"Yeah. Plus a*t*matic out, you're leaving in a couple of days. God, I wish we were tourists.","Yeah. Actually... You know where I've been meaning to visit?"
"Okay, okay. We're from a small town in the south of France. Our plane leaves sunday morning.","Uh, hey, uh, howdy, ladies. Hate to bother you. We seem to be a little bit lost. Would you happen to know which street the statue of liberty's on?"
"Hi, um, I'm Colleen.","Hi, Colleen."
"This is Lindsay.","Hi, Lindsay."
"Well, it's just we're leaving sunday morning. It sure would be nice to have some real New Yorkers show us around.","Yeah."
"Well. We're tonight, but... maybe tomorrow afternoon? Atfer lunch?","Well. Hotdog! Should we... you want to just meet here in front of Mac... MacLaren's pub?"
"We'll see you tomorrow.","All right."
"'m just saying it seems like a kind of bar a lot of cool people would hang out there.","Okay. All right."
"I'm gonna go, too.","This is the easiest date ever. You know what I'm gonna try next? A knock, knock joke."
"Easiest? Somehow we have managed to find the two lamest new yorkers of all time.","Ted, Ted, Ted. Dude."
"I'm looking at you. What?","Right. Stay with me. We are on the cusp of moving from out-of-towners to in-their-pantsers. Ay-o?"
"All right, Ignatius, one more hour.","Nice. Nice. Hey, nice."
"Hey. Our friends invited us to a party. You guys want to come along?","Knock, knock."
"Who's there?","Yes, we do."
"Hey. If we're going north, why did we cross over the FDR? We should have taken the Hudson.",""
"A hundred... on the south of Bronx at this time of night? We're going to get k*ll.","Ted. I think these local new yorkers know more about the city than we do, so relax. We're in very capable hands."
"There were three of them, at least two g*n... they took all our money.","Well. I only had traveler's checks."
"You're the best. And maybe a couple polaroids?","What?! This night couldn't have gone any better. We've just survived a mugging. You know what that means."
"""Thank God, we're alive"" sex.","""Thank God we're alive"" sex. It's even better than ""I can't believe you just proposed to me"" sex, which I've only had, like, four of five times. Ted, please, we are so close."
"Yeah. I just want to celebrate the fact that we survived. You know?","Mmm-mm. Me too. So where do you live?"
"You guys live in New Jersey, not New York?","Theodore."
"New Jersey?","Teddy?"
"Oh, no. Oh, no.","Oh, no."
"Because I live here. That's right. I live here. Yes, we're full of crap. Yes, we pretended to be from out of town so we could sleep with you and leave in the morning. But you know what's even worse than that?! Saying you're a new yorker when you're not. Because, this is the greatest city in the world and you have to earn the right to call yourself a new yorker. So why don't you girls crawl into the open sewer pipe you call the Holland tunnel and flush yourselves back to ""pretty much New York""? Because I will do a lot to get laid, but I am not going to New Jersey!","You're not from Missouri? Well, I will be a monkey's unc..."
"Ew. Can we get a ride?","Hey, um, sir, can we get ride, too?"
"Oh, good to be back. Although it's weird, vacation Robin popped into my dream again last night.","Listening."
"Oh my God. Barney...oh my God.","Use your words, Ted."
"OK. Barney, I'm about to go for the belt.","The belt?"
"The belt.","But that's impossible. You were up here less than half an hour ago."
"Yes, advantage Ericksen.","Don't get cocky. Wimbledon lasts a fortnight."
"What? We agreed, I suited up.","You take too long to get ready"
"Yeah, which takes an hour and a half of waxing, tugging and teasing to achieve.","And then he starts on his hair. Ace."
"Ha ha ha ha. Look, are we going or not?","Just go without us, we'll be there in five minutes."
"You just made the list, bitch.","So many questions. Firstly, what do you think would happen if a guy walked into that store wearing a suit of boots?"
"Oh, that's the point. It's to hide the point that I haven't shaved my legs. I've g*n a strict no-shave policy for the first three dates. It's all about self-control. If I don't shave, I must behave.","FYI, it doesn't matter, baby. Guys just wanna get on the green. They don't mind going through the rough."
"Shekwakie.","Stinson."
"All right, the beers are here.","Yeah, we're not gonna make it."
"Oh come on, we agreed...Did Marshall take his pants off?","Yeah, pants are off."
"Kazouwee. Vanquished, old bean.","That's 'cause you distracted me. You've been hanging crumpet ever since the third set."
"That's 'cause you distracted me. You've been hanging crumpet ever since the third set.","Stinson."
"I've got a situation. Trudy is here, you know, the pineapple incident.","You mean, the girl who chalked your pool cue and snuck down the fire escape."
"I think the new girl's kinda into me.","So you now have two on the line?"
"And I don't know which one to go for.","Go for the new girl."
"Go for the new girl.","Given the choice, always party with Dr. Strangelove."
"New girl? What new girl?","Two girls are allegedly vying for Ted's affections and I think..."
"I thought we were in for the evening.","That's what I thought about your bangers and mash down there but I guess we're both wrong, governor."
"It's a tricycle.","No way, no way, no way!"
"Well, I'll just say it right now, all sorority girls are sluts.","Put him on speaker."
"Put him on speaker.","So what you're saying to us right now is you have a sh*t at the belt?"
"You actually bought a belt.","That's right, it's resplendent."
"It's just a thing we said, we were kidding around.","I never kid. Remember you said if I ever slept with that girl from Days of our Lives, I'd be the king? Well..."
"Guys, come on, help me out. What do I do?","All right, Ted, if you're about to go for the belt, then the bylaws require me to ask the following questions. One, is the aggregate age of all the participants under 83?"
"What? No.","Ted?"
"INT. APARTMENT","Oh, hold on. Ted's texting me. We're combing upsars."
"What are you doing?","I repeat. I will say that it happened to me to lie on compassion."
"Why, why?","Because the belt is my birthright. You can't claim it before I do. That would be like Jimmy Olsen capturing Lex Luther while Superman watches impotently from the bedroom."
"But Barney, you've done way dirtier stuff than Ted. You're disgusting.","I've never ridden the tricycle. I was on the verge last year, it was so close."
"I've never ridden the tricycle. I was on the verge last year, it was so close.","So, ladies, why don't we move this party to a more horizontal location?"
"OK.","Ay ay ay."
"Get out!","You must come to Brazzaville, in New Jersey to take me out."
"(Ted checks out his hair in the mirror, steps towards the door, steps back to mirror and touches up his hair again, steps towards the door, steps back to mirror and continues to touch up his hair","Oh my God."
"Ted, you're ruining this for everyone.","Leave him alone! Sometimes even the greatest warriors sh**t themselves in the foot."
"So, Barney, why don't we take this party to a more horizontal location?","Oh no, the night's ruined!"
"No, baby, it's not.","Yes it is. Whatever this night was heading towards is ruined. Where's my coat?"
"Why would you do that to yourself?","Because you get up in your head, man. Start thinking, I can't do this. It's two women. That's two of everything, four of some things. The logistics alone are enough to cripple even a pro like me."
"See? If a complete degenerate like Barney choked, what chance do I have?","The best chance in the world. Fear took the belt from me. Fear rode the tricycle that night, my friends. But fear will not get a second turn."
"It won't?","No, because I now realize it isn't my destiny to win the belt. It is my destiny to help my friend win it. Ted is fated to go there first. He is our Neil Armstrong. Space-suit-up, Ted, 'cause you're going to the moon. Step 1."
"Why would I want to tire them out?","That's your excuse to unleash pretext for physical contact number one."
"OK, what the hell.","OK, wait for it."
"Mortality angle, that's actually pretty good. I can do this.","Yes you can."
"So, what happened next? Did you do it? Ted: Doesn't seem right to talk about it.","What? No! Tell me. Don't tell me because you don't have to because you didn't do it."
"What? No! Tell me. Don't tell me because you don't have to because you didn't do it.","You didn't do it. You did it. You did it, didn't you? Did you?"
"You didn't do it. You did it. You did it, didn't you? Did you?","You didn't do it. Yes, you did. You did. No, you... Just tell me!"
"Some stories you tell, some stories you don't.","Because you didn't do it. He didn't do it. You did it, you did it, you did it. Tell me, did you?"
"Because you didn't do it. He didn't do it. You did it, you did it, you did it. Tell me, did you?","Ted, belt."
"Did you? Did you? Or didn't you?","Did? Tell me. You know if he did it?"
"What do you mean? Ted: When someone wants to set you up they always tell you the good qualities first but then they leave out their huge flaw.","She's totally hot and really fun."
"She's totally hot and really fun.","But she has a dead tooth."
"Hey, you know what, not every setup has a 'but'. What about, um, Jamie, that girl that Lily set you up with? She was really nice.","If memory serves me, she had a huge 'but'. Her huge butt. Nailed it!"
"I like sports cars but it doesn't mean I wanna push a Ferrari through my vagina","g*n."
"You can't blame us for thinking that the kid would be a problem. I mean, if we were friends with Garfield, we wouldn't set him up on a date with Mondays.","Nice."
"But she's a g*n nut.","But she's Canadian."
"But she didn't like Field of Dreams.","I can't think of anything."
"The ultimate ice breaker.","A bunch of cobras got loose in Central Park. You and I are jogging, training for the Death Valley Iron Man. No big deal, we do it every year. Suddenly we see these snake bastards sneaking towards a little baby. Not on our watch. You grab the kid, I strangle six cobras with my bare hands. Women of New York, one at a time please."
"So, what are the eye patches for?","We got bit."
"Both of us.","They're different eyes. I don't see why this bugs you. Patch up!"
"OK, I'm gonna let you in on a little secret. People with real game don't need eye patches.","Oh, Theodore..."
"Oh, Theodore...","..no no no, you can't spell game without me, and me has the best game."
"Yeah, well, I got so much game, I'm Cornish game hen.","Oh yeah? I'm the New York state gaming commissioner."
"Well, I'm The Game, well-crafted, keep-you-guessing thriller starring Michael Douglas and Sean Penn.","Wow."
"I may have made some wildly inappropriate homoerotic comments to a gentleman wearing your shoes.","OK, Marshall."
"Neither of you guys has any game, right, or else you'd be married like me.","What? Marshall: If dating is the game, then marriage is winning the game."
"You're joking. I have mad game, bra.","OK. One, we agreed not to ever say 'bra' anymore. It was a good week, we had a lot of fun, but it's over. Two, you've been with Lily for eleven years. You're idea of good game is slapping on a Dr. Seuss hat and flashing two tickets to a Spin Doctors concert."
"What? I am not irrelevant. I know tons of stuff. I could help you guys. I don't wanna be left out.","Ted, you do not have more game than me. By sheer numbers alone, I win. Come on, dude, you've seen my list."
"Are you a model? That one's good because it's flattering to the girl.","Ted, I challenge you to a picking-up-girls Olympiad."
"Fine.","And I only stirred that with my pinky."
"Or we could just choose a girl and the first one to seal the deal wins.","That's good too."
"That's good too.","How about her?"
"You're on.","Before we start, why don't we jot down a few basic ground rules?"
"Rule number two, this bet is for one million dollars.","I win."
"How?","Oh, I slept with her, about a year ago, I just forgot."
"Oh, well, that doesn't count. The bet started the moment we shook.","I can't sleep with her again. She hates me."
"Get out of my way.","By the look of those shoes, here comes your bathroom buddy."
"You see this. Game face.","Whatever, Ted."
"Oh, get this, she plays bass in a reggae band. They're having a show this Friday. How cool is that?","Oh, does she know that one song? Mm-hm chaka, mm-hm chaka. What's that song called? Oh, right, it's called every reggae song."
"I am not irrelevant. I ran the numbers. If Lily and I have sex twice a week, which, let's be honest, we all know is being conservative. And we've been together for ten years plus seventeen more times on the honeymoon. Minus the two week drought when I said the checker at the grocery store reminded me of a young Lily. Then we have had sex a total of...wait for it...","Nice."
"One thousand fifty-three and a half times...my mom called once. But that's more times than Barney has ever had sex and to your point, Ted, Lily is a quality girl. I win. Lawyered.","Doesn't count."
"You're right, it counts. It counts as one. You've had sex once. How was it? Marshall: I still matter.","OK, Ted, go win the bet. You have my blessing. She's a wonderful girl. I should know."
"Oh, OK, OK, I see what you're doing.","We've never shared a woman, have we, Ted? Isn't that funny? You're with her now, I was with her a year ago. You figure for her, that's like 200 showers ago. You gotta ask yourself, Ted, is 200 enough? Ted: You know what, I don't mind. Barney: No, of course you don't mind. Just like the second guy to climb Mt. Everest didn't mind getting all the way to the top only to find Sir Edmund Hilary's flagpole thrust into its supple peak."
"We've never shared a woman, have we, Ted? Isn't that funny? You're with her now, I was with her a year ago. You figure for her, that's like 200 showers ago. You gotta ask yourself, Ted, is 200 enough? Ted: You know what, I don't mind. Barney: No, of course you don't mind. Just like the second guy to climb Mt. Everest didn't mind getting all the way to the top only to find Sir Edmund Hilary's flagpole thrust into its supple peak.","No, I'm sure when you're with her I'll be the furthest thing from your mind. Kissing what I've already kissed. Nuzzling what I've already nuzzled. Going on."
"Barney, I'm not afraid of catching your cooties, OK?","Really? Ted's not afraid of cooties. OK, well then I guess you'd have no problem having a sip of my gin and tonic."
"What do you mean, win? You couldn't even talk to her. You tried, you got slapped.","That's what you think happened."
"OK, great, rule number one no eye patches or props of any...","Here's the deal. My friend just got dumped so he's a little shy but he'd love to buy you a drink and get to know you. The problem is he thinks a pretty girl like you won't go for a guy like him. So would you slap me across the face so he could see you're not into guys who feed you lines? What do you say? For my friend?"
"You are so sweet.","So now, whatever nice things Ted does for her, in her mind, I'm the guy who's even nicer than him."
"So you never slept with her?","Not even at all."
"Wow, that's good.","It gets better. Remember Ted's phone conversation?"
"Well., have fun in yoga","Well?"
"Well?","Oh."
"I'm sorry.","Stacy, right?"
"Yeah. Oh, you're Ted's friend from the bar?","Yeah, wait, don't tell me you go to yoga here too?"
"She plays bass in a reggae band.","I'm gonna head out to a reggae concert. I'm a huge fan of reggae."
"Oh my gosh, I play in a reggae band.","No way, I wonder why Ted didn't tell me about that. Like I said, I'm a huge reggae fan."
"See you later alligator.","We are two peas."
"We are two peas.","Wow, take care. Namaste."
"You are a sociopath. That was my yoga mat.","So now with Ted out of the picture, I'm gonna swoop in and take the whole thing."
"Why? Parce que je le jeu me chienne.","Translation: 'cause I got game, bitches."
"No, no, this doesn't prove anything because...","Hold one, hold on a second. Stacy."
"Hold one, hold on a second. Stacy.","Hey, stace. What happened? He did not. Stay there, I'll be right over."
"Since Ted, you know, I don't really wanna get too physical too fast.","That's what makes you so special, baby."
"Oh, there's a stigma. That's why people always say there's no stigma anymore.","So, she's hot."
"Oh, she's gorgeous.","Then she's crazy."
"No she's not.","Ted, the only hot girls that troll the Internet for dudes are crazy, hookers or dudes."
"OK, she's not crazy, she's not a hooker, she's not a dude. Though there's this guy I pass on my work every day who's all three, scares the crap out of me.","There's no way she's above the line on the hot-crazy scale."
"Wait, hot-crazy scale?","Let me illustrate."
"Let me illustrate.","A girl is allowed to be crazy..."
"A girl is allowed to be crazy...",".. as long as she is equally hot."
".. as long as she is equally hot.","Thus, if she's this crazy, she has to be this hot."
"Thus, if she's this crazy, she has to be this hot.","If she's this crazy, she has to be this hot."
"If she's this crazy, she has to be this hot.","You want the girl to be above this line"
"You want the girl to be above this line","Also known as the Vicky Mendoza diagonal. This girl I dated, she played jump rope with that line. She'd shave her head..."
"Also known as the Vicky Mendoza diagonal. This girl I dated, she played jump rope with that line. She'd shave her head...","..then lose ten pounds."
"..then lose ten pounds.","She'd stab me with a fork..."
"She'd stab me with a fork...",".. then get a boob job."
".. then get a boob job.","I should give her a call."
"OK, so please, just play along with her fake story. We met in a cooking class.","I don't know, Ted, I don't know if I can just play along with your crazy girlfriend's fake story. Now, if you had said fake breasts..."
"She's not crazy.","OK, we'll see."
"Long story short, thank goodness I'm such a bad cook or I never would have met Ted.","It's crazy how cute that is. It's crazy."
"No, no no no no no no no no no no no no no. Barney and I are not together. No. No.","Really? Sixteen no's. Really?"
"Oh, I get it. Ted told you I didn't go to college so now you're giving me a cute little backhanded slap.","Oh, here we go."
"Well, while you were busy majoring in being freaking beautiful, I was starting my own line of handbags.","Your own line of handbags? That's crazy."
"You know what else is a good story, how Barney and I met. Barney, tell that story, right now. Please.","OK, Ted, this is a crazy story. You're gonna love it."
"OK, Ted, this is a crazy story. You're gonna love it.","Tonight's the first time I'm taking my deaf brother out since our mom died."
"Oh, I'm sorry about that.","No, it's OK. I have to take care of him now. Of course, I have had to put my dreams on hold in order to do it, but I'm happy to. He's my brother and I love him. I'm sorry, it's all still so fresh."
"Oh man, I'm really sorry.","Wow, you bought that?"
"Well, I'm still having this conversation, so... Barney: Well played.","I like you Ted."
"I like you Ted.","Ted, I'm gonna teach you how to live."
"Ted, I'm gonna teach you how to live.","Barney. We met at the urinal."
"Oh right, hi.","Lesson one, lose the goatee, it doesn't go with your suit."
"Lesson two, get a suit. Sutis are cool. Exhibit A.","Lesson three, don't even think about getting married till your thirty. And lesson four, be totally silent for the next five minutes."
"Lesson three, don't even think about getting married till your thirty. And lesson four, be totally silent for the next five minutes.","Hey, Audrey, this is my deaf brother, Edward."
"Hey, Audrey, this is my deaf brother, Edward.","Edward, this is Audrey."
"Hi, my name is Audrey. Nice to meet you","He doesn't sign. He's embarrassed by his hands. They're tiny and lady-like."
"I'm Edward. Nice to meet you too.","What? You are over your hand issues. It's about time."
"Here. Call me.","And even though that girl ended up giving me a fake number, I knew that Ted and I would be each other's wingmen forever."
"He's lying to you. Just give him a fake number.","Great, funny. God, with a wingman like Ted, I might need to resort to meeting someone in a super desperate and lame way, like online. Online. Online."
"OK, yes, I told them, but it's not a big deal. Lots of people meet on the Internet. That whole seeing a stranger across a crowded room thing, that only happens in the movies.","Yeah, that never happens. Oh wait, except you and Robin. That's how you guys met, right?"
"(adsbygoogle = window.adsbygoogle || []).push({});","Huh. Marshall and Lily are doing something meaningful. And it's making me less happy about this bonus. And I'm still single. At least I got that going for me. So why do I still feel outside of awesome looking in? What am I doing with my life?"
"Well, we're closing in on the half. Let's see how Blah-blah's doing on the crazy-hot scale.","She started the night here"
"She started the night here","But as the night's progressed, she's gotten crazier but no hotter which has caused her to drift across the Mendoza diagonal and dangerously close to the Shelley Gillespie zone."
"But as the night's progressed, she's gotten crazier but no hotter which has caused her to drift across the Mendoza diagonal and dangerously close to the Shelley Gillespie zone.","Another girl I dated. She gained twenty pounds and tried to k*ll me with a brick."
"No, no no no no no no no no no no no.","How much fun is this? All of us reminiscing about how we met me? Robin, have I told you how I met Marshall? Robin: Yeah, like five or six times."
"How much fun is this? All of us reminiscing about how we met me? Robin, have I told you how I met Marshall? Robin: Yeah, like five or six times.","It was right over there."
"It was right over there.","Here's your problem, you've only slept with one woman. Those kind of stats are only okay if you're eleven. But tonight, we're getting you a new girl because Marshall Eriksen, from this moment on, I make all your decisions for you."
"This is Barney, I met him the other day. He's kind of a jackass.","I'm teaching Ted how to live, and lucky you, I have room for one more student. Think of me as Yoda, only instead of being little and green, I wear suits and I'm awesome. I'm your bro. I'm bro-da. And tonight you are gonna use The Force to get the hottest chick in this bar into bed."
"You're gonna use force? 'Cause that sounds wrong, bro-da.","No, The Force. It's a Star Wars reference."
"I'm not gonna cheat on my girlfriend.","Yes, you are, with the hottie that just walked in. Look at her."
"Yes, you are, with the hottie that just walked in. Look at her.","How much hotter is she than your girlfriend? Marshall: There's no comparison. What do you think, Ted? Go for it? Ted: Oh, don't do it, man. Think about Lily."
"You know what, I don't care. I've been with one woman for too long. I need me some strange.","Yes, yes, pep talk. You can do this, but to be more accurate, you probably can't. You're way out of practice and she is way too hot for you. So, remember, tonight isn't about scoring, it's about believing that you can do it even though you probably can't. Go get him, tiger."
"Yes, yes, pep talk. You can do this, but to be more accurate, you probably can't. You're way out of practice and she is way too hot for you. So, remember, tonight isn't about scoring, it's about believing that you can do it even though you probably can't. Go get him, tiger.","Poor guy's gonna crash and burn."
"Poor guy's gonna crash and burn.","That man is a god."
"For like a week after, Barney followed me around, asking me to teach him how to live. I even got him to do my laundry once.","I thought it was a Mr. Miyagi kind of thing."
"And I'm unreasonably-small-mouth-opening girl.","Worst superheroes ever."
"Another girl, Ted? Who haven't you made out with? You know what, I don't need this. I design handbags. I'm writing a memoir. I'm a superstar. This is totally my year. Someday the name Blah-blah will be up in lights. Ted, next time you're online playing World of Warcraft, don't even think about chatting with me.","World of Warcraft? The online role playing game? That's how you two met online?"
"I was working from home, because, you know, no distractions.","This is incredible!"
"Oh my God! I can't believe it!","I have big news!"
"Oh my God!","Okay. My thing's pretty huge. But fine, you can go first."
"Okay, I just found out...","I just find a porno starring Ted Mosby!"
"What are you... What you're talking about?","I'm talking about welcome to the sex plane, and look who plays the navigator, Ted Mosby"
"Oh my God. This totally explains the thing at my doctor's the other day.","All right. Let's meet your new doppelganger. Or should I say doppel banger."
"This is really bizarre. The only other famous Mosby I know was a confederate general during the civil w*r.","Probably not the same guy."
"Yeah, it really is.","Oh, hey, hey-o. New guy entering the cockpit. Could it be the navigator, Ted Mosby."
"Uh, no. No, navigators have three stripes on their hats. Captains have four. That guy's a captain.","Yeah, and I'm sure complete accuracy in all those details was very important to the directors... ""Dirt and skank, the raunch brothers""."
"Wow.","And I found a porno starring Ted Mosby."
"Oh my God, that's amazing!","I know, right?"
"Oh, congratulations, Marshall!","Congratulation for us all."
"Oh, let's go celebrate.","The fact that I found a porno starring a guy named Ted Mosby... Let's do it!"
"Apparently you can.","Ted, Ted, Ted, guy in the hat! Three stripes, ladies and gentlemen, I give you Ted Mosby, p*rn star."
"I know what kind of plane this is. It's a ""boing"".","See, this is way better than Marshall's intership."
"Oh yeah. A little bit. Yeah.","More around the eyes."
"Ah, ah, very funny, Wendy. Now we know you watch p*rn. This Ted Mosby must be getting kind of famous.","Hmm. You're not wrong. According to the web site, of the far superior Ted Mosby... he's been in the business three months, and he's made 125 movies."
"What do you mean?","Ted, as you know, I've always been really, really addicted to your mother."
"He is not trying to seduce me. He didn't even offer me the job.","That comes later. At dinner. He did invite you to dinner, didn't he?"
"Oh, you should go. I mean, you're not gonna take the job, but you might as well get a great meal out of the deal.","Don't wait up."
"Hmm. Wait, are you telling me that they actually have conventions for p*rn?","Affirmative. Or to put in another way... God bless America."
"Yeah i thought i was gonna get married to my last boyfriend but, boy, did that guy have commitment issues! That whole relationships, that 3 weeks of my life i'll never get back.","Well, I love commitment. I wish i could marry commitment."
"Really?","Yeah. I ate at the Tavern of vegetables, I started talking to the Swedish Top Model, and the next moment we batifolait in the back of a carriage. Go my beautiful, Hue!"
